USER;COMMAND;%CPU;%MEM;PID;PPID
jefe;node;0,0;33,8;891;739
jefe;node;0,0;9,3;739;673
jefe;node;0,0;4,8;673;669
jefe;node;0,0;3,7;704;673
jefe;node;0,0;3,7;750;673
jefe;node;0,0;2,9;1078;739
jefe;code-e8+;0,0;0,9;628;608
root;systemd+;0,0;0,9;225;1
root;systemd;0,0;0,6;1;0
jefe;python3;0,0;0,6;9437;962
root;sshd;0,0;0,6;581;547
root;sshd;0,0;0,5;6582;547
root;systemd;0,0;0,5;562;1
jefe;systemd;0,0;0,5;584;1
root;sshd;0,0;0,5;547;1
root;systemd+;0,0;0,4;531;1
jefe;sshd;0,0;0,3;604;581
jefe;sshd;0,0;0,3;6588;6582
systemd+;systemd+;0,0;0,3;469;1
jefe;bash;0,0;0,3;962;704
jefe;bash;0,0;0,3;6589;6588
root;systemd+;0,0;0,3;254;1
root;bash;0,0;0,3;578;542
jefe;top;0,0;0,3;9439;NULL
jefe;bash;0,0;0,2;881;704
message+;dbus-da+;0,0;0,2;528;1
nginx;nginx;0,0;0,2;545;543
nginx;nginx;0,0;0,2;546;543
root;login;0,0;0,2;542;1
jefe;bash;0,0;0,2;605;604
jefe;(sd-pam);0,0;0,2;585;584
root;(sd-pam);0,0;0,2;563;562
jefe;pet;0,0;0,2;786;739
root;cron;0,0;0,1;514;1
jefe;sh;0,0;0,1;608;605
root;nginx;0,0;0,1;543;1
